Sibley County,B-,Same as yesterday
Lac qui Parle County,B-,Same as yesterday
Aitkin County,B-,Same as yesterday
Hubbard County,B-,Same as yesterday
Lincoln County,B-,Same as yesterday
Wilkin County,B-,Same as yesterday
Traverse County,B-,Same as yesterday
Faribault County,B-,Same as yesterday
Pipestone County,B-,Same as yesterday
Rock County,B-,Same as yesterday
Todd County,B-,Same as yesterday
Yellow Medicine County,B-,Same as yesterday
Grundy County,B-,Same as yesterday
Maries County,B-,Same as yesterday
Gasconade County,B-,Same as yesterday
Chariton County,B-,Same as yesterday
Hickory County,B-,Same as yesterday
Madison County,B-,Same as yesterday
Gentry County,B-,Same as yesterday
Bollinger County,B-,Same as yesterday
Jefferson Davis County,B-,Same as yesterday
Tallahatchie County,B-,Same as yesterday
Amite County,B-,Same as yesterday
Greene County,B-,Same as yesterday
Smith County,B-,Same as yesterday
Noxubee County,B-,Same as yesterday
Choctaw County,B-,Same as yesterday
Walthall County,B-,Same as yesterday
Lake County,B-,Same as yesterday
Roosevelt County,B-,Same as yesterday
Lincoln County,B-,Same as yesterday
Pondera County,B-,Same as yesterday
Camden County,B-,Same as yesterday
Hyde County,B-,Same as yesterday
Washington County,B-,Same as yesterday
Perquimans County,B-,Same as yesterday
Graham County,B-,Same as yesterday
Mercer County,B-,Same as yesterday
Hettinger County,B-,Same as yesterday
McLean County,B-,Same as yesterday
Dunn County,B-,Same as yesterday
Fillmore County,B-,Same as yesterday
Chase County,B-,Same as yesterday
Johnson County,B-,Same as yesterday
Cuming County,B-,Same as yesterday
Furnas County,B-,Same as yesterday
Jefferson County,B-,Same as yesterday
Nance County,B-,Same as yesterday
Valley County,B-,Same as yesterday
Boone County,B-,Same as yesterday
Dawes County,B-,Same as yesterday
Hitchcock County,B-,Same as yesterday
Burt County,B-,Same as yesterday
Clay County,B-,Same as yesterday
Pawnee County,B-,Same as yesterday
Kearney County,B-,Same as yesterday
Socorro County,B-,Same as yesterday
Yates County,B-,Same as yesterday
Schuyler County,B-,Same as yesterday
Harrison County,B-,Same as yesterday
Jefferson County,B-,Same as yesterday
Harper County,B-,Same as yesterday
Cotton County,B-,Same as yesterday
Greer County,B-,Same as yesterday
Ellis County,B-,Same as yesterday
Grant County,B-,Same as yesterday
Roger Mills County,B-,Same as yesterday
Potter County,B-,Same as yesterday
Calhoun County,B-,Same as yesterday
McCormick County,B-,Same as yesterday
Hanson County,B-,Same as yesterday
Gregory County,B-,Same as yesterday
Fall River County,B-,Same as yesterday
Perkins County,B-,Same as yesterday
Sanborn County,B-,Same as yesterday
Spink County,B-,Same as yesterday
Charles Mix County,B-,Same as yesterday
Hand County,B-,Same as yesterday
Day County,B-,Same as yesterday
Hutchinson County,B-,Same as yesterday
Moody County,B-,Same as yesterday
Tripp County,B-,Same as yesterday
Douglas County,B-,Same as yesterday
Houston County,B-,Same as yesterday
Van Buren County,B-,Same as yesterday
Lake County,B-,Same as yesterday
Wayne County,B-,Same as yesterday
Johnson County,B-,Same as yesterday
Jackson County,B-,Same as yesterday
San Jacinto County,B-,Same as yesterday
